Mandal,Revenue_Division,District
Chinnamandyam,Rayachoti,Annamayya
Galiveedu,Rayachoti,Annamayya
Lakkireddipalli,Rayachoti,Annamayya
Ramapuram,Rayachoti,Annamayya
Rayachoti,Rayachoti,Annamayya
Sambepalli,Rayachoti,Annamayya
Bapatla,Bapatla,Bapatla
Karlapalem,Bapatla,Bapatla
Martur,Bapatla,Bapatla
Parchur,Bapatla,Bapatla
Pittalavanipalem,Bapatla,Bapatla
Yeddanapudi,Bapatla,Bapatla
Chinaganjam,Chirala,Bapatla
Chirala,Chirala,Bapatla
Inkollu,Chirala,Bapatla
Karamchedu,Chirala,Bapatla
Vetapalem,Chirala,Bapatla
Amruthalur,Repalle,Bapatla
Bhattiprolu,Repalle,Bapatla
Cherukupalle,Repalle,Bapatla
Kolluru,Repalle,Bapatla
Nagaram,Repalle,Bapatla
Nizampatnam,Repalle,Bapatla
Repalle,Repalle,Bapatla
Tsundur,Repalle,Bapatla
Vemuru,Repalle,Bapatla
Bangarupalem,Chittoor,Chittoor
Chittoor,Chittoor,Chittoor
Chittoor Urban,Chittoor,Chittoor
Gangadhara Nellore,Chittoor,Chittoor
Gudipala,Chittoor,Chittoor
Irala,Chittoor,Chittoor
Penumuru,Chittoor,Chittoor
Pulicherla,Chittoor,Chittoor
Puthalapattu,Chittoor,Chittoor
Rompicherla,Chittoor,Chittoor
Sri Rangaraja Puram,Chittoor,Chittoor
Thavanampalle,Chittoor,Chittoor
Vedurukuppam,Chittoor,Chittoor
Yadamarri,Chittoor,Chittoor
Kuppam,Kuppam,Chittoor
Ramakuppam,Kuppam,Chittoor
Santhipuram,Kuppam,Chittoor
Gudipalle,Kuppam,Chittoor
Nagari,Nagari,Chittoor
Nindra,Nagari,Chittoor
Palasamudram,Nagari,Chittoor
Vijayapuram,Nagari,Chittoor
Karvetinagar,Nagari,Chittoor
Baireddipalle,Palamaner,Chittoor
Gangavaram,Palamaner,Chittoor
Palamaner,Palamaner,Chittoor
Peddapanjani,Palamaner,Chittoor
Venkatagirikota,Palamaner,Chittoor
Allavaram,Amalapuram,Dr. B. R. Ambedkar Konaseema
Amalapuram,Amalapuram,Dr. B. R. Ambedkar Konaseema
I. Polavaram,Amalapuram,Dr. B. R. Ambedkar Konaseema
Katrenikona,Amalapuram,Dr. B. R. Ambedkar Konaseema
Malikipuram,Amalapuram,Dr. B. R. Ambedkar Konaseema
Mamidikuduru,Amalapuram,Dr. B. R. Ambedkar Konaseema
Mummidivaram,Amalapuram,Dr. B. R. Ambedkar Konaseema
Razole,Amalapuram,Dr. B. R. Ambedkar Konaseema
Sakhinetipalle,Amalapuram,Dr. B. R. Ambedkar Konaseema
Uppalaguptam,Amalapuram,Dr. B. R. Ambedkar Konaseema
Ainavilli,Kothapeta,Dr. B. R. Ambedkar Konaseema
Alamuru,Kothapeta,Dr. B. R. Ambedkar Konaseema
Ambajipeta,Kothapeta,Dr. B. R. Ambedkar Konaseema
Atreyapuram,Kothapeta,Dr. B. R. Ambedkar Konaseema
Kothapeta,Kothapeta,Dr. B. R. Ambedkar Konaseema
P. Gannavaram,Kothapeta,Dr. B. R. Ambedkar Konaseema
Ravulapalem,Kothapeta,Dr. B. R. Ambedkar Konaseema
K. Gangavaram,Ramachandrapuram,Dr. B. R. Ambedkar Konaseema
Kapileswarapuram,Ramachandrapuram,Dr. B. R. Ambedkar Konaseema
Mandapeta,Ramachandrapuram,Dr. B. R. Ambedkar Konaseema
Ramachandrapuram,Ramachandrapuram,Dr. B. R. Ambedkar Konaseema
Rayavaram,Ramachandrapuram,Dr. B. R. Ambedkar Konaseema
Chagallu,Kovvur,East Godavari
Devarapalle,Kovvur,East Godavari
Gopalapuram,Kovvur,East Godavari
Kovvur,Kovvur,East Godavari
Nallajerla,Kovvur,East Godavari
Nidadavole,Kovvur,East Godavari
Peravali,Kovvur,East Godavari
Tallapudi,Kovvur,East Godavari
Undrajavaram,Kovvur,East Godavari
Anaparthi,Rajahmundry,East Godavari
Biccavolu,Rajahmundry,East Godavari
Gokavaram,Rajahmundry,East Godavari
Kadiam,Rajahmundry,East Godavari
Korukonda,Rajahmundry,East Godavari
Rajahmundry Urban,Rajahmundry,East Godavari
Rajahmundry Rural,Rajahmundry,East Godavari
Rajanagaram,Rajahmundry,East Godavari
Rangampeta,Rajahmundry,East Godavari
Seethanagaram,Rajahmundry,East Godavari
Bhimadole,Eluru,Eluru
Denduluru,Eluru,Eluru
Eluru,Eluru,Eluru
Kaikalur,Eluru,Eluru
Kalidindi,Eluru,Eluru
Mandavalli,Eluru,Eluru
Mudinepalle,Eluru,Eluru
Nidamarru,Eluru,Eluru
Pedapadu,Eluru,Eluru
Pedavegi,Eluru,Eluru
Unguturu,Eluru,Eluru
Buttayagudem,Jangareddigudem,Eluru
Dwaraka Tirumala,Jangareddigudem,Eluru
Jangareddygudem,Jangareddigudem,Eluru
Jeelugu Milli,Jangareddigudem,Eluru
Kamavarapukota,Jangareddigudem,Eluru
Koyyalagudem,Jangareddigudem,Eluru
Kukunoor,Jangareddigudem,Eluru
Polavaram,Jangareddigudem,Eluru
T. Narasapuram,Jangareddigudem,Eluru
Velairpadu,Jangareddigudem,Eluru
Agiripalli,Nuzvid,Eluru
Chatrai,Nuzvid,Eluru
Chintalapudi,Nuzvid,Eluru
Lingapalem,Nuzvid,Eluru
Musunuru,Nuzvid,Eluru
Nuzvid,Nuzvid,Eluru
Guntur East,Guntur,Guntur
Guntur West,Guntur,Guntur
Medikonduru,Guntur,Guntur
Pedakakani,Guntur,Guntur
Pedanandipadu,Guntur,Guntur
Phirangipuram,Guntur,Guntur
Prathipadu,Guntur,Guntur
Tadikonda,Guntur,Guntur
Thullur,Guntur,Guntur
Vatticherukuru,Guntur,Guntur
Chebrolu,Tenali,Guntur
Duggirala,Tenali,Guntur
Kakumanu,Tenali,Guntur
Kollipara,Tenali,Guntur
Mangalagiri,Tenali,Guntur
Ponnur,Tenali,Guntur
Tadepalle,Tenali,Guntur
Tenali,Tenali,Guntur
Gollaprolu,Kakinada,Kakinada
Kajuluru,Kakinada,Kakinada
Kakinada Rural,Kakinada,Kakinada
Kakinada Urban,Kakinada,Kakinada
Karapa,Kakinada,Kakinada
Kothapalle,Kakinada,Kakinada
Pedapudi,Kakinada,Kakinada
Pithapuram,Kakinada,Kakinada
Thallarevu,Kakinada,Kakinada
Gandepalle,Peddapuram,Kakinada
Jaggampeta,Peddapuram,Kakinada
Kirlampudi,Peddapuram,Kakinada
Kotananduru,Peddapuram,Kakinada
Peddapuram,Peddapuram,Kakinada
Prathipadu,Peddapuram,Kakinada
Rowthulapudi,Peddapuram,Kakinada
Samalkota,Peddapuram,Kakinada
Sankhavaram,Peddapuram,Kakinada
Thondangi,Peddapuram,Kakinada
Tuni,Peddapuram,Kakinada
Yeleswaram,Peddapuram,Kakinada
Bapulapadu,Gudivada,Krishna
Gannavaram,Gudivada,Krishna
Gudivada,Gudivada,Krishna
Gudlavalleru,Gudivada,Krishna
Nandivada,Gudivada,Krishna
Pedaparupudi,Gudivada,Krishna
Unguturu,Gudivada,Krishna
Avanigadda,Machilipatnam,Krishna
Bantumilli,Machilipatnam,Krishna
Challapalli,Machilipatnam,Krishna
Ghantasala,Machilipatnam,Krishna
Guduru,Machilipatnam,Krishna
Koduru,Machilipatnam,Krishna
Kruthivennu,Machilipatnam,Krishna
Machilipatnam,Machilipatnam,Krishna
Mopidevi,Machilipatnam,Krishna
Nagayalanka,Machilipatnam,Krishna
Pedana,Machilipatnam,Krishna
Kankipadu,Vuyyuru,Krishna
Movva,Vuyyuru,Krishna
Pamarru,Vuyyuru,Krishna
Pamidimukkala,Vuyyuru,Krishna
Penamaluru,Vuyyuru,Krishna
Thotlavalluru,Vuyyuru,Krishna
Vuyyuru,Vuyyuru,Krishna
Adoni Urban,Adoni,Kurnool
Adoni Rural,Adoni,Kurnool
Gonegandla,Adoni,Kurnool
Holagunda,Adoni,Kurnool
Kosigi,Adoni,Kurnool
Kowthalam,Adoni,Kurnool
Mantralayam,Adoni,Kurnool
Nandavaram,Adoni,Kurnool
Pedda Kadubur,Adoni,Kurnool
Yemmiganur,Adoni,Kurnool
C.Belagal,Kurnool,Kurnool
Gudur,Kurnool,Kurnool
Kallur,Kurnool,Kurnool
Kodumur,Kurnool,Kurnool
Kurnool Urban,Kurnool,Kurnool
Kurnool Rural,Kurnool,Kurnool
Orvakal,Kurnool,Kurnool
Veldurthi,Kurnool,Kurnool
Alur,Pattikonda,Kurnool
Aspari,Pattikonda,Kurnool
Chippagiri,Pattikonda,Kurnool
Devanakonda,Pattikonda,Kurnool
Halaharvi,Pattikonda,Kurnool
Krishnagiri,Pattikonda,Kurnool
Maddikera East,Pattikonda,Kurnool
Pattikonda,Pattikonda,Kurnool
Tuggali,Pattikonda,Kurnool
Chandra Sekhara Puram,Kanigiri,Markapuram
Hanumanthuni Padu,Kanigiri,Markapuram
Kanigiri,Kanigiri,Markapuram
Pamur,Kanigiri,Markapuram
Pedacherlo Palle,Kanigiri,Markapuram
Veligandla,Kanigiri,Markapuram
Ardhaveedu,Markapur,Markapuram
Bestawaripeta,Markapur,Markapuram
Cumbum,Markapur,Markapuram
Dornala,Markapur,Markapuram
Giddalur,Markapur,Markapuram
Konakanamitla,Markapur,Markapuram
Komarolu,Markapur,Markapuram
Markapuram,Markapur,Markapuram
Peda Araveedu,Markapur,Markapuram
Pullalacheruvu,Markapur,Markapuram
Podili,Markapur,Markapuram
Racherla,Markapur,Markapuram
Tarlupadu,Markapur,Markapuram
Tripuranthakam,Markapur,Markapuram
Yerragondapalem,Markapur,Markapuram
Atmakur,Atmakur (Nandyal),Nandyal
Bandi Atmakur,Atmakur (Nandyal),Nandyal
Jupadu Bungalow,Atmakur (Nandyal),Nandyal
Kothapalle,Atmakur (Nandyal),Nandyal
Midthuru,Atmakur (Nandyal),Nandyal
Nandikotkur,Atmakur (Nandyal),Nandyal
Pagidyala,Atmakur (Nandyal),Nandyal
Pamulapadu,Atmakur (Nandyal),Nandyal
Srisailam,Atmakur (Nandyal),Nandyal
Velgodu,Atmakur (Nandyal),Nandyal
Banaganapalle,Banaganapalle,Nandyal
Koilkuntla,Banaganapalle,Nandyal
Kolimigundla,Banaganapalle,Nandyal
Owk,Banaganapalle,Nandyal
Sanjamala,Banaganapalle,Nandyal
Bethamcherla,Dhone,Nandyal
Dhone,Dhone,Nandyal
Peapally,Dhone,Nandyal
Allagadda,Nandyal,Nandyal
Chagalamarri,Nandyal,Nandyal
Dornipadu,Nandyal,Nandyal
Gadivemula,Nandyal,Nandyal
Gospadu,Nandyal,Nandyal
Mahanandi,Nandyal,Nandyal
Nandyal Rural,Nandyal,Nandyal
Nandyal Urban,Nandyal,Nandyal
Panyam,Nandyal,Nandyal
Rudravaram,Nandyal,Nandyal
Sirivella,Nandyal,Nandyal
Uyyalawada,Nandyal,Nandyal
Chandarlapadu,Nandigama,NTR
Jaggayyapeta,Nandigama,NTR
Kanchikacherla,Nandigama,NTR
Nandigama,Nandigama,NTR
Penuganchiprolu,Nandigama,NTR
Vatsavai,Nandigama,NTR
Veerullapadu,Nandigama,NTR
A. Konduru,Tiruvuru,NTR
Gampalagudem,Tiruvuru,NTR
Reddigudem,Tiruvuru,NTR
Tiruvuru,Tiruvuru,NTR
Vissannapeta,Tiruvuru,NTR
G.Konduru,Vijayawada,NTR
Ibrahimpatnam,Vijayawada,NTR
Mylavaram,Vijayawada,NTR
Vijayawada Rural,Vijayawada,NTR
Vijayawada North,Vijayawada,NTR
Vijayawada Central,Vijayawada,NTR
Vijayawada East,Vijayawada,NTR
Vijayawada West,Vijayawada,NTR
Dachepalle,Gurazala,Palnadu
Durgi,Gurazala,Palnadu
Gurazala,Gurazala,Palnadu
Karempudi,Gurazala,Palnadu
Macherla,Gurazala,Palnadu
Machavaram,Gurazala,Palnadu
Piduguralla,Gurazala,Palnadu
Rentachintala,Gurazala,Palnadu
Veldurthi,Gurazala,Palnadu
Bollapalle,Narasaraopet,Palnadu
Chilakaluripet,Narasaraopet,Palnadu
Edlapadu,Narasaraopet,Palnadu
Ipuru,Narasaraopet,Palnadu
Nadendla,Narasaraopet,Palnadu
Narasaraopet,Narasaraopet,Palnadu
Nuzendla,Narasaraopet,Palnadu
Rompicherla,Narasaraopet,Palnadu
Savalyapuram,Narasaraopet,Palnadu
Vinukonda,Narasaraopet,Palnadu
Amaravathi,Settenapalli,Palnadu
Atchampet,Settenapalli,Palnadu
Bellamkonda,Settenapalli,Palnadu
Krosuru,Settenapalli,Palnadu
Muppalla,Settenapalli,Palnadu
Nekarikallu,Settenapalli,Palnadu
Pedakurapadu,Settenapalli,Palnadu
Rajupalem,Settenapalli,Palnadu
Sattenapalle,Settenapalli,Palnadu
Bhamini,Palakonda,Parvathipuram Manyam
Gummalakshmipuram,Palakonda,Parvathipuram Manyam
Jiyyammavalasa,Palakonda,Parvathipuram Manyam
Kurupam,Palakonda,Parvathipuram Manyam
Palakonda,Palakonda,Parvathipuram Manyam
Seethampeta,Palakonda,Parvathipuram Manyam
Veeraghattam,Palakonda,Parvathipuram Manyam
Balijipeta,Parvathipuram,Parvathipuram Manyam
Garugubilli,Parvathipuram,Parvathipuram Manyam
Komarada,Parvathipuram,Parvathipuram Manyam
Makkuva,Parvathipuram,Parvathipuram Manyam
Pachipenta,Parvathipuram,Parvathipuram Manyam
Parvathipuram,Parvathipuram,Parvathipuram Manyam
Salur,Parvathipuram,Parvathipuram Manyam
Seethanagaram,Parvathipuram,Parvathipuram Manyam
Chintur,Chinturu,Polavaram
Etapaka,Chinturu,Polavaram
Kunavaram,Chinturu,Polavaram
Vararamachandrapuram,Chinturu,Polavaram
Addateegala,Rampachodavaram,Polavaram
Devipatnam,Rampachodavaram,Polavaram
Gangavaram,Rampachodavaram,Polavaram
Gurthedu,Rampachodavaram,Polavaram
Maredumilli,Rampachodavaram,Polavaram
Rajavommangi,Rampachodavaram,Polavaram
Rampachodavaram,Rampachodavaram,Polavaram
Y. Ramavaram,Rampachodavaram,Polavaram
Korisapadu,Addanki,Prakasam
J. Panguluru,Addanki,Prakasam
Addanki,Addanki,Prakasam
Ballikurava,Addanki,Prakasam
Santhamaguluru,Addanki,Prakasam
Mundlamuru Ongole,Addanki,Prakasam
Thallur,Addanki,Prakasam
Darsi,Addanki,Prakasam
Donakonda Kanigiri,Addanki,Prakasam
Kurichedu,Addanki,Prakasam
Gudluru,Kandukur,Prakasam
Kandukuru,Kandukur,Prakasam
Lingasamudram,Kandukur,Prakasam
Ulavapadu,Kandukur,Prakasam
Marripudi,Kandukur,Prakasam
Ponnaluru,Kandukur,Prakasam
Voletivaripalem,Kandukur,Prakasam
Chimakurthi,Ongole,Prakasam
Kondapi,Ongole,Prakasam
Kotha Patnam,Ongole,Prakasam
Maddipadu,Ongole,Prakasam
Naguluppalapadu,Ongole,Prakasam
Ongole Urban,Ongole,Prakasam
Ongole Rural,Ongole,Prakasam
Santhanuthala Padu,Ongole,Prakasam
Singarayakonda,Ongole,Prakasam
Tangutur,Ongole,Prakasam
Zarugumilli,Ongole,Prakasam
Ananthasagaram,Atmakur (Nellore),Sri Potti Sri Ramulu Nellore
Anumasamudrampeta,Atmakur (Nellore),Sri Potti Sri Ramulu Nellore
Atmakur,Atmakur (Nellore),Sri Potti Sri Ramulu Nellore
Chejerla,Atmakur (Nellore),Sri Potti Sri Ramulu Nellore
Kaluvoya,Atmakur (Nellore),Sri Potti Sri Ramulu Nellore
Marripadu,Atmakur (Nellore),Sri Potti Sri Ramulu Nellore
Sangam,Atmakur (Nellore),Sri Potti Sri Ramulu Nellore
Sitarampuramu,Atmakur (Nellore),Sri Potti Sri Ramulu Nellore
Udayagiri,Atmakur (Nellore),Sri Potti Sri Ramulu Nellore
Gudur,Gudur,Sri Potti Sri Ramulu Nellore
Chillakur,Gudur,Sri Potti Sri Ramulu Nellore
Kota,Gudur,Sri Potti Sri Ramulu Nellore
"Allur, Nellore district",Kavali,Sri Potti Sri Ramulu Nellore
Bogolu,Kavali,Sri Potti Sri Ramulu Nellore
Dagadarthi,Kavali,Sri Potti Sri Ramulu Nellore
Duttaluru,Kavali,Sri Potti Sri Ramulu Nellore
Jaladanki,Kavali,Sri Potti Sri Ramulu Nellore
Kaligiri,Kavali,Sri Potti Sri Ramulu Nellore
Kavali,Kavali,Sri Potti Sri Ramulu Nellore
Kodavaluru,Kavali,Sri Potti Sri Ramulu Nellore
Vidavaluru,Kavali,Sri Potti Sri Ramulu Nellore
Vinjamuru,Kavali,Sri Potti Sri Ramulu Nellore
Buchireddypalem,Nellore,Sri Potti Sri Ramulu Nellore
Indukurpet,Nellore,Sri Potti Sri Ramulu Nellore
Kovur,Nellore,Sri Potti Sri Ramulu Nellore
Manubolu,Nellore,Sri Potti Sri Ramulu Nellore
Muttukuru,Nellore,Sri Potti Sri Ramulu Nellore
Nellore Urban,Nellore,Sri Potti Sri Ramulu Nellore
Nellore Rural,Nellore,Sri Potti Sri Ramulu Nellore
Podalakuru,Nellore,Sri Potti Sri Ramulu Nellore
Rapuru,Nellore,Sri Potti Sri Ramulu Nellore
Saidapuramu,Nellore,Sri Potti Sri Ramulu Nellore
Thotapalligudur,Nellore,Sri Potti Sri Ramulu Nellore
Venkatachalam,Nellore,Sri Potti Sri Ramulu Nellore
Bathalapalle,Dharmavaram,Sri Sathya Sai
Chennekothapalle,Dharmavaram,Sri Sathya Sai
Dharmavaram,Dharmavaram,Sri Sathya Sai
Kanaganapalle,Dharmavaram,Sri Sathya Sai
Mudigubba,Dharmavaram,Sri Sathya Sai
Ramagiri,Dharmavaram,Sri Sathya Sai
Tadimarri,Dharmavaram,Sri Sathya Sai
Gandlapenta,Kadiri,Sri Sathya Sai
Kadiri,Kadiri,Sri Sathya Sai
Lepakshi,Kadiri,Sri Sathya Sai
Nallacheruvu,Kadiri,Sri Sathya Sai
Nambulapulakunta,Kadiri,Sri Sathya Sai
Tanakal,Kadiri,Sri Sathya Sai
Agali,Madakasira,Sri Sathya Sai
Amarapuram,Madakasira,Sri Sathya Sai
Gudibanda,Madakasira,Sri Sathya Sai
Madakasira,Madakasira,Sri Sathya Sai
Rolla,Madakasira,Sri Sathya Sai
Chilamathur,Penukonda,Sri Sathya Sai
Gorantla,Penukonda,Sri Sathya Sai
Hindupur,Penukonda,Sri Sathya Sai
Parigi,Penukonda,Sri Sathya Sai
Penukonda,Penukonda,Sri Sathya Sai
Roddam,Penukonda,Sri Sathya Sai
Somandepalle,Penukonda,Sri Sathya Sai
Talupula,Penukonda,Sri Sathya Sai
Amadagur,Puttaparthi,Sri Sathya Sai
Bukkapatnam,Puttaparthi,Sri Sathya Sai
Kothacheruvu,Puttaparthi,Sri Sathya Sai
Nallamada,Puttaparthi,Sri Sathya Sai
Obuladevaracheruvu,Puttaparthi,Sri Sathya Sai
Puttaparthi,Puttaparthi,Sri Sathya Sai
Ichchapuram,Palasa,Srikakulam
Kanchili,Palasa,Srikakulam
Kaviti,Palasa,Srikakulam
Mandasa,Palasa,Srikakulam
Palasa,Palasa,Srikakulam
Sompeta,Palasa,Srikakulam
Vajrapukothuru,Palasa,Srikakulam
Amadalavalasa,Srikakulam,Srikakulam
Burja,Srikakulam,Srikakulam
Etcherla,Srikakulam,Srikakulam
Ganguvarisigadam,Srikakulam,Srikakulam
Gara,Srikakulam,Srikakulam
Jalumuru,Srikakulam,Srikakulam
Laveru,Srikakulam,Srikakulam
Narasannapeta,Srikakulam,Srikakulam
Polaki,Srikakulam,Srikakulam
Ponduru,Srikakulam,Srikakulam
Ranastalam,Srikakulam,Srikakulam
Sarubujjili,Srikakulam,Srikakulam
Srikakulam,Srikakulam,Srikakulam
Hiramandalam,Tekkali,Srikakulam
Kotabommali,Tekkali,Srikakulam
Kothuru,Tekkali,Srikakulam
Lakshminarsupeta,Tekkali,Srikakulam
Meliaputti,Tekkali,Srikakulam
Nandigam,Tekkali,Srikakulam
Pathapatnam,Tekkali,Srikakulam
Santhabommali,Tekkali,Srikakulam
Saravakota,Tekkali,Srikakulam
Tekkali,Tekkali,Srikakulam
Balayapalli,Srikalahasti,Tirupati
Dakkili,Srikalahasti,Tirupati
K. V. B. Puram,Srikalahasti,Tirupati
Nagalapuram,Srikalahasti,Tirupati
Narayanavanam,Srikalahasti,Tirupati
Pichatur,Srikalahasti,Tirupati
Renigunta,Srikalahasti,Tirupati
Srikalahasti,Srikalahasti,Tirupati
Thottambedu,Srikalahasti,Tirupati
Venkatagiri,Srikalahasti,Tirupati
Yerpedu,Srikalahasti,Tirupati
Buchinaidu Kandriga,Sullurpeta,Tirupati
Chittamur,Sullurpeta,Tirupati
Doravarisatram,Sullurpeta,Tirupati
Naidupeta,Sullurpeta,Tirupati
Ojili,Sullurpeta,Tirupati
Pellakuru,Sullurpeta,Tirupati
Satyavedu,Sullurpeta,Tirupati
Sullurpeta,Sullurpeta,Tirupati
Tada,Sullurpeta,Tirupati
Vakadu,Sullurpeta,Tirupati
Varadaiahpalem,Sullurpeta,Tirupati
Chandragiri,Tirupati,Tirupati
Chinnagottigallu,Tirupati,Tirupati
Chitvel,Tirupati,Tirupati
Kodur,Tirupati,Tirupati
Obulavaripalle,Tirupati,Tirupati
Pakala,Tirupati,Tirupati
Penagalur,Tirupati,Tirupati
Pullampeta,Tirupati,Tirupati
Puttur,Tirupati,Tirupati
Ramachandrapuram,Tirupati,Tirupati
Tirupati Rural,Tirupati,Tirupati
Tirupati Urban,Tirupati,Tirupati
Vadamalapeta,Tirupati,Tirupati
Yerravaripalem,Tirupati,Tirupati
Anandapuram,Bheemunipatnam,Visakhapatnam
Bheemunipatnam,Bheemunipatnam,Visakhapatnam
Padmanabham,Bheemunipatnam,Visakhapatnam
Seethammadhara,Bheemunipatnam,Visakhapatnam
Visakhapatnam Rural,Bheemunipatnam,Visakhapatnam
Gajuwaka,Visakhapatnam,Visakhapatnam
Gopalapatnam,Visakhapatnam,Visakhapatnam
Maharanipeta,Visakhapatnam,Visakhapatnam
Mulagada,Visakhapatnam,Visakhapatnam
Pedagantyada,Visakhapatnam,Visakhapatnam
Pendurthi,Visakhapatnam,Visakhapatnam
Badangi,Bobbili,Vizianagaram
Bobbili,Bobbili,Vizianagaram
Dattirajeru,Bobbili,Vizianagaram
Gajapathinagaram,Bobbili,Vizianagaram
Mentada,Bobbili,Vizianagaram
Ramabhadrapuram,Bobbili,Vizianagaram
Therlam,Bobbili,Vizianagaram
Cheepurupalle,Cheepurupalle,Vizianagaram
Garividi,Cheepurupalle,Vizianagaram
Gurla,Cheepurupalle,Vizianagaram
Merakamudidam,Cheepurupalle,Vizianagaram
Rajam,Cheepurupalle,Vizianagaram
Regidi Amadalavalasa,Cheepurupalle,Vizianagaram
Santhakaviti,Cheepurupalle,Vizianagaram
Vangara,Cheepurupalle,Vizianagaram
Bhogapuram,Vizianagaram,Vizianagaram
Bondapalle,Vizianagaram,Vizianagaram
Denkada,Vizianagaram,Vizianagaram
Gantyada,Vizianagaram,Vizianagaram
Jami,Vizianagaram,Vizianagaram
Kothavalasa,Vizianagaram,Vizianagaram
Lakkavarapukota,Vizianagaram,Vizianagaram
Nellimarla,Vizianagaram,Vizianagaram
Pusapatirega,Vizianagaram,Vizianagaram
Srungavarapukota,Vizianagaram,Vizianagaram
Vepada,Vizianagaram,Vizianagaram
Vizianagaram,Vizianagaram,Vizianagaram
Akividu,Bhimavaram,West Godavari
Bhimavaram,Bhimavaram,West Godavari
Kalla,Bhimavaram,West Godavari
Palacoderu,Bhimavaram,West Godavari
Undi,Bhimavaram,West Godavari
Veeravasaram,Bhimavaram,West Godavari
Achanta,Narasapuram,West Godavari
Mogalthur,Narasapuram,West Godavari
Palakollu,Narasapuram,West Godavari
Penugonda,Narasapuram,West Godavari
Penumantra,Narasapuram,West Godavari
Poduru,Narasapuram,West Godavari
Yelamanchili,Narasapuram,West Godavari
Attili,Tadepalligudem,West Godavari
Ganapavaram,Tadepalligudem,West Godavari
Iragavaram,Tadepalligudem,West Godavari
Pentapadu,Tadepalligudem,West Godavari
